username,location,text,created_at
Felix_EngDev,"Eldoret, Kenya",RT @FoilArmsAndHog: WTF is Brexit.. #BrexitDay https://t.co/UWGbhqpzBe,2020-02-05
EricMMatheny,"Broward County, Florida","RT @EricMMatheny: If you missed the live show check out the replay! We talk #ImpeachmentTrialSham #BrexitDay and #TaxationIsTheft! 

https:…",2020-02-05
BasfordMaggie,,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
Pat33393437,United Kingdom,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
cuppycoco,,RT @JamesNurdenDC: British Lefties on #BrexitDay https://t.co/N3UtsJOvN2,2020-02-05
ElevateBlacks,,"RT @hiveofblacks: Imagine what a significant white pasted on the flats of people of color on the day Britain exit the EU. 

https://t.co/DN…",2020-02-05
Arash34388144,,RT @Fakhravar: To all my British friends; Happy Independence Day (Brexit)! It’s great that you are not anymore among all those European Uni…,2020-02-05
OCostil,Paris,"RT @ChooseNormandy: On #BrexitDay, it’s worth reminding ourselves of the #enduringties that bind Normandy and the UK - just like this chap’…",2020-02-05
bigplaincircle,"Columbus, OH","RT @RaheemKassam: Feels like the right day to BUST this picture back out.

From ⁦@realDonaldTrump⁩’s Trump Tower apartment.

Nov 10th 2016.…",2020-02-05
JustMe52734458,,RT @Shr33k1: @BrexitBetrayed Not soon enough! Most of the country have seen how bias its been towards remain for #brexit instead of remaini…,2020-02-05
neetneet4710,,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
JosephErnesto18,,"RT @LeaveEUOfficial: The day has finally arrived!

Happy #BrexitDay, everyone! 🇬🇧🥳",2020-02-05
yoraima68402271,,"RT @en_germany: It's time to say goodbye! Tonight at midnight, #GreatBritain will leave the #EuropeanUnion. German Foreign Minister @HeikoM…",2020-02-05
im2funkee4u,Costa Rica,RT @deAdder: Cartoon for @TorontoStar #BrexitDay #Brexit50p #Brexiteers #BrexitShambles https://t.co/tANe3Wijvm,2020-02-05
Dhawuodbay,,"RT @Vitt2tsnoc: Here are Brexiters jeering and mocking the EU. And in contrast, here’s Brussels, main square lit up in Union Jacks, to say…",2020-02-05
DeniseAnn410,USA 🇺🇸❤️🇺🇸,"RT @RealCandaceO: As many of you know, my husband is British and my father-in-law sits in the House of Lords. 
Safe to say the Farmer house…",2020-02-05
