username,source_freq_map
DzifaJ,"{'Twitter for iPhone': 189, 'TweetDeck': 10, 'Twitter Web Client': 1}"
UnwrittenPix,"{'Instagram': 108, 'Facebook': 53, 'Twitter for iPhone': 36, 'Mobile Web': 2, 'WeddingWire': 1}"
shrewsweb,"{'Twitter Web App': 104, 'Hootsuite Inc.': 35, 'Twitter for iPhone': 27, 'Twitter for Advertisers': 15, 'Twitter Media Studio': 15, 'audioBoom': 3, ""Players' Post"": 1}"
PearcyAdam,{'dlvr.it': 200}
JohnstownHawks,"{'Twitter Web App': 112, 'Hootsuite Inc.': 45, 'Twitter for iPhone': 39, 'Twitter Web Client': 2, 'TweetDeck': 2}"
kjllianjones,{'Twitter for Android': 4}
JuniorChirino1,{'Twitter for iPhone': 192}
breakingstlnews,"{'GroupTweet': 108, 'Hootsuite': 91, 'Twitter for iPhone': 1}"
mkayla_bayla,{'Twitter for iPhone': 192}
calverthall,"{'Twitter for iPhone': 156, 'Twitter Web App': 44}"
Fizell,{'Twitter for iPhone': 188}
matt_b84,{'Twitter for Android': 197}
briankrowland,"{'Socialchief': 95, 'Buffer': 71, 'SumAll': 31, 'Twitter Web Client': 3}"
Next_Game_Bro,"{'Twitter Web Client': 158, 'Twitter for iPhone': 25, 'Mobile Web (M2)': 3, 'Twitter for Websites': 1, 'Gleam Competition App': 1}"
JETROCKETSKATES,"{'Twitter for Android': 197, 'Nintendo Switch Share': 3}"
Perksofbeeing,{'Twitter for iPhone': 190}
meashy_c,"{'Twitter for iPhone': 132, 'TweetDeck': 31, 'Twitter Web Client': 21, 'Jobvite': 12, 'iOS': 3, 'Twitter for Websites': 1}"
ogreen32,"{'Flamingo for Android': 157, 'TweetDeck': 38}"
iEPAclimate,{'dlvr.it': 200}
Union_Network,"{'Gremlin Social': 133, 'Instagram': 66, 'Twitter for Android': 1}"
RandyHolbrook,"{'Twitter for Android': 199, 'Instagram': 1}"
Iaurensmith,"{'Twitter for iPhone': 184, 'Twitter Web App': 15}"
All_Ways_Apples,"{'Twitter Web App': 198, 'Twitter Web Client': 2}"
Hedi_Bb,{'Twitter for iPhone': 197}
RogerKatherine,{'dlvr.it': 200}
OneRxApp,"{'Twitter Web Client': 116, 'Percolate': 42, 'TweetDeck': 34, 'Twitter for Android': 7, 'Thunderclap': 1}"
stevieD321,{'Twitter for iPhone': 199}
Urmum95040765,{'ONE PIECE TREASURE CRUISE': 34}
KathrynKolasa,{'dlvr.it': 200}
FostersDailyDem,"{'Twitter Web App': 150, 'Twitter for iPhone': 39, 'Facebook': 11}"
sammy_jenkins,{'Twitter for iPhone': 18}
allaboutdigifun,"{'twitterfeed': 176, 'Mobile Web (M2)': 24}"
Cafferine,"{'Twitter for iPhone': 198, 'TwiAgeCom': 2}"
blankyhanky9,{'TweetDeck': 200}
blankyhanky5,{'TweetDeck': 200}
julieweigley,"{'Twitter Web App': 182, 'Twitter for iPhone': 17}"
Free_Martinis,"{'Twitter for Android': 98, 'Tumblr': 66, 'Twitter Web App': 35, 'Twitter Web Client': 1}"
Rampantredlion1,{'Twitter for Android': 200}
blankyhanky4,{'TweetDeck': 200}
SailingFansclub,{'dlvr.it': 200}
ElvisAndPodcast,"{'Twitter Web Client': 117, 'Twitter for Android': 52, 'Podbean Podcast': 31}"
_scoper_xX,"{'Twitter for iPad': 126, 'Twitter for Android': 46, 'Twitter for iPhone': 1}"
htx3_,"{'Twitter for iPhone': 196, 'fllwrs': 4}"
nouisftangels,{'TweetDeck': 183}
MyHerbalGarden,"{'Gremlin Social': 194, 'Facebook': 5, 'WordPress.com': 1}"
thisdreamsalive,"{'Twitter for Android': 111, 'Twitter Web App': 89}"
charliarceo,"{'Twitter for iPhone': 170, 'Twitter Web Client': 3}"
YoderS719,"{'Twitter for iPhone': 91, 'Twitter Web Client': 68, 'Instagram': 31, 'Twitter SMS': 2, 'erased3126441': 2, 'Twitter for Websites': 1, 'iOS': 1, 'Twitter for iPad': 1, 'Photos on iOS': 1}"
anabellxox,{'Twitter for iPhone': 192}
MsBrooke_Lynn,"{'Twitter Web Client': 108, 'Twitter for iPhone': 92}"
royalty1214,{'Twitter for iPhone': 199}
maryjewellmtr,"{'Twitter for iPhone': 198, 'Instagram': 2}"
LoneOakRanch,{'Facebook': 200}
MiwanakamuraEBS,"{'twittbot.net': 194, 'Twitter Web Client': 4, '黒歴史クリーナー': 2}"
OHS_SRC,"{'Twitter for iPhone': 194, 'Twitter Web Client': 6}"
Roxy__Foxy_,{'twitterfeed': 200}
BarbecueFresh,{'erased1693945': 200}
Boeingpro,"{'Twitter for iPhone': 186, 'Paper.li': 11, 'fllwrs': 3}"
ACMEBodyPaint,{'Main Street Hub': 200}
blankyhanky21,{'TweetDeck': 200}
blankyhanky15,{'TweetDeck': 200}
blankyhanky19,{'TweetDeck': 200}
blankyhanky16,{'TweetDeck': 200}
blankyhanky17,{'TweetDeck': 200}
R_Parmley,"{'Twitter for iPhone': 63, 'Twitter for Android': 2, 'Twitter Web Client': 1}"
JackTownNoah,"{'Twitter for iPhone': 140, 'Twitter for Android': 29, 'Twitter for iPad': 13, 'Twitter Web App': 2, 'Twitter Web Client': 1}"
blankyhanky2,{'TweetDeck': 200}
MeganGilbertt,"{'Twitter for iPhone': 195, 'Twitter Web App': 1}"
blankyhanky12,{'TweetDeck': 200}
blankyhanky10,{'TweetDeck': 200}
blankyhanky11,{'TweetDeck': 200}
DeadlyRave,"{'Twitter for Android': 156, 'Twitter Web App': 44}"
Fahima90,"{'Twitter for Android': 176, 'Twitter Web App': 20, 'Twitter Web Client': 3}"
austin7175,{'Twitter for iPhone': 193}
CherishR1,"{'Twitter for iPhone': 178, 'Twitter Web App': 20, 'Twitter for iPad': 1}"
VorongoUSA,{'twitterfeed': 200}
Thebibliolater,{'Twitter for Android': 66}
Iindaikeji,{'Facebook': 200}
blankyhanky,{'TweetDeck': 200}
chadtrawick2012,{'Twitter for Android': 197}
totally_tay113,{'Twitter for iPhone': 167}
NancyLei,{'Twitter for iPhone': 200}
dilop10,{'Twitter Web App': 200}
G_The_Prodigy,{'Twitter for iPhone': 193}
WZBC_Live,{'Spinitron Playlists': 200}
SunMusicNet,"{'Cirrus Streaming Playlist Update': 92, 'Twitter Web Client': 35, 'WordPress.com': 30, 'Twitter for iPhone': 22, 'Twitter Web App': 20, 'Instagram': 1}"
xtnjav,{'Twitter for iPhone': 184}
priyesh_lad,"{'Twitter for iPhone': 195, 'Twitter for Mac': 1}"
AltPress,"{'TweetDeck': 146, 'LaterMedia': 24, 'Twitter Web Client': 13, 'Twitter Web App': 9, 'Twitter Media Studio': 5, 'Twitter for iPhone': 3}"
