username,userid,nFollowers,nFollowings,FollowersToFollowing,nLists,nFavs,nPosts,geo,location,url,description,verified,bot_in_name,bot_in_des,fav_tweets,fav_retweets,fav_replies,ret_tweets,ret_retweets,ret_replies,pop_fav_tweets,pop_fav_retweets,pop_fav_replies,pop_ret_tweets,pop_ret_retweets,pop_ret_replies,nPostMention,nPostQuote,nPostPlace,Tavg,age,screen_name_len
Hartmanrique,150671488,6,0,,0,209,34,0,0,0,1,0,0,0,0,0,0,0,82516,0,,,,,,,20,2,0,129372.06060606061,122481222.0,12
Ryan__Cross,1036426404,7,0,,0,157,32,0,0,0,1,0,0,0,0,0,0,0,3229,0,,,,,,,19,1,0,5074583.586206896,203580331.0,11
vinirubertiloco,430879866,4,0,,0,141,19,0,0,0,1,0,0,0,0,0,0,0,162098,0,,,,,,,12,1,0,10393293.94736842,170357383.0,15
bizzle003,593243747,7,0,,0,119,5,0,0,0,1,0,0,0,2,0,0,0,0,0,,,,,,,0,0,0,17777.2,185334235.0,9
pluto_zhou,764841621586190336,27,804,0.033582089552238806,0,326,71,1,1,0,1,0,0,0,5,0,0,0,50566,0,0.0002487562189054727,0.0,0.0,0.0,1.5723258706467662,0.0,41,3,0,1098306.8181818181,318265827.0,10
connelly_elaine,809835776,39,258,0.1511627906976744,0,249,71,0,0,0,1,0,0,0,18,0,2,0,1748,0,0.0026833631484794273,0.0,0.003875968992248062,0.0,0.1737229179089644,0.0,40,6,0,2896418.7462686566,194141110.0,15
2Hhn8,3287349272,13,207,0.06280193236714976,0,302,63,0,0,0,1,0,0,0,1,0,0,0,23668,0,0.0003450655624568668,0.0,,0.0,2.5985946420729027,,43,0,0,12333.206896551725,284631997.0,5
285609726,2158304600,1,0,,0,122,22,0,0,0,1,0,0,0,1,0,0,0,50919,0,,,,,,,12,1,0,6889925.15,229936527.0,9
louiloudlowa,54330296,278,0,,10,512,286,0,1,1,1,0,0,0,6,0,0,2,173075,0,,,,,,,167,6,0,1126668.7668393783,93992222.0,12
DelaCruzWS,225618586,38,25,1.52,0,287,25,0,0,0,0,0,0,0,2,0,6,0,48886,0,0.026666666666666665,0.0,0.01411764705882353,0.0,651.8133333333334,0.0,20,2,0,273216.6956521739,139195250.0,10
