username,userid,nFollowers,nFollowings,FollowersToFollowing,nLists,nFavs,nPosts,geo,location,url,description,verified,bot_in_name,bot_in_des,fav_tweets,fav_retweets,fav_replies,ret_tweets,ret_retweets,ret_replies,pop_fav_tweets,pop_fav_retweets,pop_fav_replies,pop_ret_tweets,pop_ret_retweets,pop_ret_replies,nPostMention,nPostQuote,nPostPlace,Tavg,age,screen_name_len
Google,20536157,21829965,224,97455.20089285714,95902,2462,106451,1,1,1,1,1,0,0,4294,0,42,859,1566,5,1.9169642857142857,0.0,0.0010190217391304348,0.3834821428571429,1.1651785714285714,0.00012131211180124223,194,2,0,3022.65,81371679.0,6
Reuters,1652541,21303805,1114,19123.70287253142,121375,750,500988,0,1,1,1,1,0,0,13845,0,509,7690,112,336,0.06506904039027325,0.0,0.09138240574506283,0.03614163384624061,0.025134649910233394,0.06032315978456015,7,0,0,221.855,21491165.0,7
FoxNews,1367531,18566725,396,46885.669191919194,66030,0,418043,1,1,1,1,1,0,0,155870,0,0,52853,2648,0,2.0716374269005846,0.0,,0.70245879851143,0.6686868686868687,,98,2,0,532.99,21236486.0,7
CNNEE,33884545,18086428,567,31898.46208112875,51907,1462,254382,1,1,1,1,1,0,0,22276,0,0,10609,101,0,0.20251277295950834,0.0,,0.09644720813105692,0.029688418577307463,,8,0,0,436.53,87394487.0,5
MTV,2367911,15822548,31514,502.0799644602399,31525,19808,287191,1,1,1,1,1,0,0,160259,0,1509,26222,972,182,0.06966201583814456,0.0,0.00040926051587979623,0.011398282650633204,0.0030843434663958874,4.936077792586011e-05,188,8,0,2053.44,22026649.0,3
WSJ,3108351,17321083,886,19549.755079006773,115057,1194,300782,1,1,1,1,1,0,0,18686,0,296,8375,10,160,0.10815535104474155,0.0,0.0835214446952596,0.04847485095792094,0.011286681715575621,0.045146726862302484,15,0,0,933.035,22486933.0,3
TwitterLatAm,85426644,14865935,66,225241.4393939394,27724,482,3599,1,1,1,1,1,0,0,10726,0,10217,1827,38188,3928,2.3216450216450215,0.0,1.5029420417769934,0.3954545454545455,21.429854096520764,0.577817005001471,117,46,0,82870.125,103672442.0,12
PlayStation,10671602,17739989,753,23559.082337317395,30594,1238,33226,1,1,1,1,1,0,0,442729,0,16901,63446,8043,2091,3.4183344142808614,0.0,3.2064124454562704,0.48986997745452293,0.5086321381142098,0.3966989186112692,29,1,0,8247.64,43281440.0,11
TIME,14293310,16700431,498,33535.00200803213,103186,536,341364,1,0,1,1,1,0,0,28423,0,0,10568,1150,0,0.29268870353207704,0.0,,0.1088250437648028,0.46184738955823296,,15,0,0,1188.0,54309270.0,4
funnyordie,15693493,13774644,6153,2238.68746952706,31043,15880,33027,1,1,1,1,1,0,0,32274,0,496,5760,205,36,0.02866254765767998,0.0,0.005757934573146665,0.005115457473763298,0.011105693699550353,0.0004179146061154838,36,5,0,14220.0,64698140.0,10
Facebook,2425151,13474202,728,18508.51923076923,43621,1367,13682,0,1,1,1,1,0,0,3923,0,481,1053,488,95,0.4898851148851149,0.0,0.0035714285714285718,0.1314935064935065,0.16758241758241757,0.0007053757053757054,194,3,0,17318.73,22058965.0,8
UberSoc,21425125,12809371,2164,5919.302680221812,12226,584,35010,1,1,1,1,0,0,0,4331,0,450,3423,1860,363,0.020422309404353238,0.0,0.002166127541589649,0.016140744652759442,0.14325323475046212,0.0017473428835489834,91,6,0,769002.125,82236651.0,7
Xbox,24742040,13849885,16862,821.3666824813189,17942,3069,257716,0,1,1,1,1,0,0,34454,0,4694,3634,614,228,0.12019368297668967,0.0,0.0015465412037586157,0.012677304346005986,0.01213774562131815,7.51195983078322e-05,187,0,0,2528.875,84306652.0,4
AP,51241574,13794199,7059,1954.129338433206,96780,2858,261110,0,1,1,1,1,0,0,60497,0,1606,35779,18460,1083,0.09522437864979301,0.0,0.04550219577843887,0.056317388361587256,0.024905726563185123,0.030684232894177644,106,0,0,1673.45,93131332.0,2
SamsungMobile,297169759,12069532,432,27938.73148148148,12346,380,5932,1,0,1,1,1,0,0,83574,0,15502,17476,3476,3448,4.836458333333333,0.0,0.25449829261886,1.0113425925925925,0.42348927875243664,0.05660625164171264,159,0,0,11604.885,152243965.0,13
enews,2883841,11773762,115926,101.56273829856978,35719,29801,249545,1,1,1,1,1,0,0,62996,0,18,7043,0,0,0.0027307317950274464,,0.00015527146628021324,0.0003052978606955728,,0.0,8,0,0,1638.215,22275747.0,5
Starbucks,30973,11281281,94891,118.88673319914429,27826,20319,217970,1,1,1,1,1,0,0,1137,0,165,114,0,19,0.011982169014975076,,8.737875337421e-06,0.0012013784236650472,,1.0061795843090847e-06,199,0,0,345.28,11906342.0,9
RedeGlobo,18219976,12090766,476,25400.768907563026,15838,4684,170439,1,1,1,1,1,0,0,52117,0,0,5042,5073,0,0.7820678271308524,0.0,,0.07566026410564225,0.17762605042016807,,76,2,0,2087.345,76700697.0,9
VictoriasSecret,16193578,11065898,1217,9092.767460969597,10206,2492,165939,1,0,1,1,1,0,0,15229,0,119,1208,0,23,0.3680458214510126,,0.0005890447575016582,0.029194257818164242,,0.00011384898674401798,165,0,0,7344.09,67992482.0,15
TheOnion,14075928,11413371,12,951114.25,73003,1,73667,0,0,1,1,1,0,0,499001,0,0,60965,4331,0,214.3475085910653,0.0,,26.1877147766323,60.15277777777778,,7,4,0,4138.225,51677317.0,8
WIRED,1344951,10425710,383,27221.17493472585,91810,3150,112894,1,1,0,1,1,0,0,43872,0,564,9743,724,264,0.6738135463062509,0.0,0.09817232375979112,0.1496390723391184,0.1260226283724978,0.04595300261096606,20,1,0,2472.07,21203845.0,5
TechCrunch,816653,10139975,961,10551.482830385015,111931,5675,208852,1,1,1,1,1,0,0,6298,0,0,3704,632,0,0.035234354894654984,0.0,,0.020722142033947615,0.046974877359892975,,118,1,0,2573.97,20309229.0,10
WWE,7517222,10863906,437,24860.196796338674,19107,1363,246432,1,1,1,1,1,0,0,250022,0,0,46132,29095,0,4.6139735734849046,0.0,,0.8513323983169706,0.8760387811634349,,194,6,0,1170.785,31700283.0,3
mashable,972651,9802598,2786,3518.5204594400575,126321,1303,372330,1,0,1,1,1,0,0,11180,0,63,4233,0,15,0.021459474607568016,,0.0017394665635871666,0.00812504078835737,,0.000414158705615992,4,0,0,738.0,20741281.0,8
